idemp,nome,status,ano,setor,endiv1,tang1,risco,lntam,z1,mb,roa,lucrat2,higrow
229,Klabin S.A.,ativo,2007,Papel e Celulose,0.297772167,0.469209553,0.061467979,21.70396208,2.198079623,1.705620571,0.026417615,0.079209785,1
191,Tractebel Energia S.A.,ativo,2007,Energia Elétrica,0.067661585,0.50261885,0.057775002,21.70667675,9.768030191,2.750332705,0.23514834,0.476885875,1
160,Cia Eletricidade da Bahia,ativo,2007,Energia Elétrica,0.2011037,0.452279186,0.067822741,21.78736742,4.086026808,1.911347022,0.238234745,0.369018513,1
75,Natura Cosmeticos S/A,ativo,2007,Comércio,0.031571921,0.017887209,0.032939927,21.87656011,22.08080684,4.831387411,0.375056888,0.184399551,1
64,Globex Utilidades SA,ativo,2007,Comércio,0.106406148,0.091934842,0.053394761,21.87952231,6.576861063,2.425880787,-0.036315236,-0.0241245,1
268,Petroquimica Uniao S.A.,cancelado,2007,Química,0.357425019,0.698194148,0.047912253,21.88380793,2.969985109,1.009907122,0.114120888,0.081566256,0
67,Lojas Americanas S.A.,ativo,2007,Comércio,0.11674545,0.096603287,0.005585428,21.88940406,5.891568822,3.942012418,0.090430213,0.094351151,1
236,Companhia de Gas de Sao Paulo - Comgas,ativo,2007,Petróleo e Gas,0.204394758,0.688850847,0.056488624,21.89013224,4.324783914,1.875376835,0.260238834,0.25411406,1
233,Suzano Papel e Celulose S.A.,ativo,2007,Papel e Celulose,0.37030029,0.534593349,0.022228442,21.90365932,1.741010172,1.294331204,0.058825958,0.201310335,0
237,Distrib Produtos Petroleo Ipiranga S/A,cancelado,2007,Petróleo e Gas,0.027379122,0.110062684,0.020501623,21.95882044,25.07289705,1.139415397,0.05413047,0.017718876,0
288,Arcelormittal Inox Brasil S/A,cancelado,2007,Siderur & Metalur,0.036929841,0.436662216,0.050071004,22.10702499,17.54101695,1.53147244,0.181807956,0.222391846,1
32,Jbs S.A.,ativo,2007,Alimentos e Beb,0.25393736,0.22475545,,22.10852016,2.862163592,1.466426095,0.082861558,0.122528618,1
